72357 OUN Norman Observations at 12Z 31 May 2013

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0     39                                                               
  966.0    345   24.0   22.3     90  17.91    180     11  300.1  352.8  303.3
  956.0    436   23.4   21.9     91  17.65    182     18  300.4  352.4  303.6
  937.1    610   22.1   21.0     94  17.01    185     30  300.8  350.9  303.8
  925.0    723   21.2   20.4     95  16.61    200     36  301.0  350.0  304.0
  918.0    789   20.8   20.5     98  16.84    203     39  301.2  351.0  304.3
  904.9    914   20.3   20.1     99  16.67    210     45  301.9  351.3  304.9
  888.0   1077   19.6   19.6    100  16.45    223     49  302.9  351.8  305.8
  881.0   1145   20.0   19.7     98  16.69    229     50  304.0  353.8  307.0
  873.5   1219   20.4   18.3     88  15.40    235     52  305.1  351.4  307.9
  850.0   1456   21.8   13.8     60  11.80    245     49  309.0  345.1  311.2
  849.0   1466   21.8   13.8     60  11.82    245     49  309.1  345.3  311.3
  843.4   1524   21.6   13.4     60  11.62    245     47  309.5  345.1  311.6
  815.0   1821   20.6   11.6     56  10.63    240     43  311.4  344.4  313.4
  814.2   1829   20.6   11.4     56  10.49    240     43  311.5  344.0  313.4
  795.0   2035   19.8    5.8     40   7.32    237     37  312.8  335.9  314.2
  786.0   2134   20.0    3.0     32   6.09    235     34  314.1  333.6  315.2
  780.0   2200   20.2    1.2     28   5.38    236     34  314.9  332.3  316.0
  758.4   2438   18.1    0.2     30   5.13    240     34  315.2  331.8  316.2
  731.7   2743   15.5   -1.2     32   4.83    250     33  315.6  331.2  316.5
  705.9   3048   12.8   -2.5     34   4.53    260     31  315.9  330.7  316.8
  700.0   3119   12.2   -2.8     35   4.47    260     32  316.0  330.5  316.8
  655.4   3658    7.0   -5.3     41   3.94    265     32  316.1  329.0  316.8
  608.5   4267    1.1   -8.2     50   3.41    260     30  316.0  327.3  316.7
  605.0   4314    0.6   -8.4     51   3.37    259     30  316.0  327.2  316.7
  585.6   4572   -1.5  -10.1     52   3.04    255     30  316.5  326.6  317.1
  563.5   4877   -4.0  -12.2     53   2.68    270     28  317.1  326.1  317.6
  552.0   5041   -5.3  -13.3     53   2.50    268     30  317.4  325.9  317.9
  532.0   5329   -7.1  -22.1     29   1.23    265     35  318.6  323.0  318.9
  513.0   5611   -8.9  -20.9     37   1.42    262     39  319.8  324.8  320.1
  500.0   5810   -7.9  -21.9     32   1.33    260     42  323.3  328.1  323.6
  497.0   5857   -7.5  -23.5     27   1.16    259     42  324.4  328.6  324.6
  482.0   6096   -8.8  -24.9     26   1.06    255     45  325.6  329.5  325.8
  477.0   6177   -9.3  -25.3     26   1.03    256     46  326.0  329.8  326.2
  463.1   6401  -11.3  -27.2     26   0.89    260     47  326.2  329.5  326.4
  400.0   7510  -21.5  -36.5     25   0.42    255     47  327.0  328.6  327.0
  394.0   7620  -22.4  -37.7     24   0.38    255     46  327.2  328.7  327.3
  362.1   8230  -27.5  -44.3     19   0.21    250     44  328.4  329.2  328.4
  340.0   8685  -31.3  -49.3     15   0.13    252     45  329.2  329.7  329.2
  318.4   9144  -34.9  -53.4     13   0.08    255     46  330.4  330.8  330.5
  300.0   9560  -38.1  -57.1     12   0.06    260     44  331.6  331.8  331.6
  278.6  10058  -42.5  -62.1     10   0.03    265     52  332.3  332.4  332.3
  266.0  10371  -45.3  -65.3      9   0.02    268     50  332.6  332.7  332.6
  254.3  10668  -47.5  -68.2      7   0.02    270     49  333.7  333.8  333.7
  250.0  10780  -48.3  -69.3      7   0.01    270     46  334.1  334.2  334.1
  220.8  11582  -54.3  -72.0     10   0.01    250     38  336.9  337.0  336.9
  200.0  12220  -59.1  -74.1     13   0.01    250     45  339.0  339.1  339.0
  199.0  12251  -59.3  -74.3     13   0.01    250     45  339.2  339.2  339.2
  196.0  12346  -59.3  -74.3     13   0.01    252     49  340.7  340.7  340.7
  193.0  12443  -57.9  -72.9     13   0.01    254     54  344.4  344.5  344.4
  191.4  12497  -58.0  -73.0     13   0.01    255     56  345.1  345.2  345.2
  182.0  12812  -58.3  -73.3     13   0.01    256     51  349.6  349.6  349.6
  178.0  12953  -56.5  -72.5     12   0.01    257     48  354.8  354.8  354.8
  174.0  13097  -56.7  -72.7     12   0.01    257     46  356.7  356.8  356.7
  170.0  13244  -55.1  -72.1     10   0.01    258     43  361.8  361.8  361.8
  163.0  13513  -54.9  -71.9     10   0.01    259     38  366.5  366.6  366.5
  157.9  13716  -56.4  -72.6     11   0.01    260     35  367.4  367.4  367.4
  156.0  13792  -56.9  -72.9     12   0.01    257     35  367.7  367.8  367.7
  150.0  14040  -56.7  -73.7     10   0.01    245     37  372.2  372.2  372.2
  146.0  14211  -56.5  -73.5     10   0.01    239     38  375.4  375.5  375.4
  143.4  14326  -57.3  -73.8     11   0.01    235     38  376.0  376.1  376.0
  136.0  14657  -59.5  -74.5     13   0.01    249     36  377.8  377.9  377.8
  130.1  14935  -60.5  -75.5     12   0.01    260     35  380.8  380.8  380.8
  126.0  15132  -61.3  -76.3     12   0.01    247     31  382.9  382.9  382.9
  123.8  15240  -62.1  -76.7     13   0.01    240     29  383.3  383.3  383.3
  117.8  15545  -64.6  -77.8     15   0.01    245     37  384.3  384.3  384.3
  117.0  15588  -64.9  -77.9     15   0.01    250     37  384.4  384.5  384.4
  116.0  15640  -63.7  -77.7     13   0.01    249     36  387.6  387.6  387.6
  110.0  15965  -64.5  -77.5     15   0.01    240     31  392.0  392.1  392.0
  108.0  16077  -62.5  -76.5     14   0.01    237     29  397.9  397.9  397.9
  102.0  16428  -63.7  -77.7     13   0.01    228     24  402.1  402.2  402.1
  100.0  16550  -61.1  -76.1     12   0.01    225     22  409.4  409.5  409.4
   78.1  18065  -66.5  -79.5     15   0.01    190     13  428.2  428.2  428.2
   75.3  18288  -66.3  -79.3     15   0.01    185     12  433.2  433.3  433.2
   73.3  18449  -66.1  -79.1     15   0.01    174     11  436.9  436.9  436.9
   71.0  18643  -63.9  -77.9     13   0.01    161     10  445.5  445.6  445.5
   70.0  18730  -64.3  -78.3     13   0.01    155      9  446.5  446.6  446.5
   68.1  18898  -64.4  -78.4     13   0.01    115      3  449.9  449.9  449.9
   61.6  19507  -64.6  -78.6     13   0.01    125     12  462.3  462.4  462.3
   55.8  20117  -64.9  -78.9     13   0.01    115     14  475.1  475.2  475.1
   55.6  20135  -64.9  -78.9     13   0.01    114     14  475.5  475.6  475.5
   53.2  20405  -62.7  -77.7     12   0.02     96     22  486.6  486.7  486.6
   53.1  20422  -62.3  -77.5     11   0.02     95     22  487.9  488.1  487.9
   52.5  20487  -60.7  -76.7     10   0.02     96     21  493.1  493.2  493.1
   50.0  20790  -61.5  -77.5     10   0.02    100     18  498.1  498.3  498.1
   48.1  21031  -61.2  -77.5     10   0.02     75     16  504.3  504.4  504.3
   45.8  21336  -60.9  -77.4     10   0.02     85     19  512.2  512.4  512.2
   43.6  21641  -60.6  -77.3      9   0.02    105     16  520.2  520.4  520.2
   41.7  21919  -60.3  -77.3      9   0.02    105     16  527.6  527.8  527.6
   39.6  22250  -59.2  -77.0      8   0.03    105     16  538.3  538.5  538.3
   37.7  22555  -58.2  -76.7      8   0.03     85     16  548.3  548.6  548.3
   36.3  22790  -57.5  -76.5      7   0.03     89     19  556.2  556.4  556.2
   34.5  23114  -54.1  -76.1      5   0.04     94     23  573.2  573.5  573.2
   34.2  23165  -54.1  -76.1      5   0.04     95     24  574.5  574.8  574.5
   32.6  23470  -54.3  -76.3      5   0.04    110     18  582.0  582.3  582.0
   31.1  23774  -54.4  -76.4      5   0.04     85     13  589.5  589.9  589.5
   30.0  24010  -54.5  -76.5      5   0.04     90     13  595.5  595.8  595.5
   28.5  24339  -54.7  -77.7      4   0.03     94     12  603.7  604.0  603.7
   28.3  24384  -54.5  -77.5      4   0.04     95     12  605.4  605.7  605.4
   27.0  24689  -53.4  -76.2      5   0.05     65     14  616.6  617.0  616.7
   25.8  24994  -52.3  -74.8      5   0.06     70     16  628.1  628.6  628.1
   23.4  25616  -50.1  -72.1      6   0.10     30      6  652.1  653.0  652.2
   23.4  25603  -50.1  -72.2      6   0.10     30      6  651.6  652.5  651.7
   21.4  26213  -51.0  -74.2      5   0.08     30     16  666.8  667.5  666.8
   20.2  26575  -51.5  -75.5      4   0.07     47     21  675.9  676.5  675.9
